userid,day_of_registeration,day_of_first_deposit,deposit_date,adkey,Rake,
21783460,"August 8, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet1_button,25398 ,
22157540,"August 14, 2020","August 14, 2020",14-08-2020,Mobile_HPheaderJulySet1_button,9902 ,
22816985,"August 26, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet1_button,9783 ,
22415447,"August 18, 2020","August 18, 2020",18-08-2020,Mobile_HPheaderJulySet1_button,9615 ,
21641202,"August 5, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet1_button,7058 ,
22794528,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet1_button,6823 ,
22075597,"August 12, 2020","August 12, 2020",12-08-2020,Mobile_HPheaderJulySet1_button,6804 ,
21485420,"August 2, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet1_button,6283 ,
22726361,"August 25, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet1_button,5823 ,
21730482,"August 7, 2020","August 7, 2020",07-08-2020,Mobile_HPheaderJulySet1_button,5772 ,
21201649,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet1_button,5172 ,
22093713,"August 13, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet1_button,4215 ,
22364336,"August 18, 2020","August 18, 2020",18-08-2020,Mobile_HPheaderJulySet1_button,4131 ,
21339444,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet1_button,4094 ,
22587283,"August 22, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet1_button,3502 ,
22747747,"August 25, 2020","August 25, 2020",25-08-2020,Mobile_HPheaderJulySet1_button,3468 ,
22132134,"August 13, 2020","August 13, 2020",13-08-2020,Mobile_HPheaderJulySet1_button,3009 ,
21796847,"August 8, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet1_button,2915 ,
21446485,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet1_button,2544 ,
21901310,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet1_button,2454 ,
21359391,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet1_button,2340 ,
22007986,"August 11, 2020","August 11, 2020",11-08-2020,Mobile_HPheaderJulySet1_button,2329 ,
21317715,"July 31, 2020","July 31, 2020",31-07-2020,Mobile_HPheaderJulySet1_button,2224 ,
22241657,"August 15, 2020","August 23, 2020",23-08-2020,Mobile_HPheaderJulySet1_button,2200 ,
21193190,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet1_button,2172 ,
21545068,"August 3, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet1_button,2137 ,
21677947,"August 6, 2020","August 6, 2020",06-08-2020,Mobile_HPheaderJulySet1_button,1956 ,
21889252,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet1_button,1755 ,
23015615,"August 30, 2020","August 30, 2020",30-08-2020,Mobile_HPheaderJulySet1_button,1736 ,
22836989,"August 27, 2020","August 27, 2020",27-08-2020,Mobile_HPheaderJulySet1_button,1696 ,
22541889,"August 21, 2020","August 22, 2020",22-08-2020,Mobile_HPheaderJulySet1_button,1645 ,
21845837,"August 9, 2020","August 9, 2020",09-08-2020,Mobile_HPheaderJulySet1_button,1550 ,
21482398,"August 2, 2020","August 3, 2020",03-08-2020,Mobile_HPheaderJulySet1_button,1517 ,
21942699,"August 10, 2020","August 10, 2020",10-08-2020,Mobile_HPheaderJulySet1_button,1290 ,
22638167,"August 23, 2020","August 23, 2020",23-08-2020,Mobile_HPheaderJulySet1_button,1260 ,
21681556,"August 6, 2020","August 8, 2020",08-08-2020,Mobile_HPheaderJulySet1_button,1242 ,
22598611,"August 22, 2020","August 23, 2020",23-08-2020,Mobile_HPheaderJulySet1_button,1210 ,
21602473,"August 4, 2020","August 5, 2020",05-08-2020,Mobile_HPheaderJulySet1_button,1178 ,
21492180,"August 2, 2020","August 2, 2020",02-08-2020,Mobile_HPheaderJulySet1_button,1116 ,
22014516,"August 11, 2020","August 11, 2020",11-08-2020,Mobile_HPheaderJulySet1_button,1103 ,
21220577,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet1_button,1065 ,
22534700,"August 21, 2020","August 21, 2020",21-08-2020,Mobile_HPheaderJulySet1_button,1042 ,
22786406,"August 26, 2020","August 26, 2020",26-08-2020,Mobile_HPheaderJulySet1_button,1011 ,
21172245,"July 29, 2020","July 29, 2020",29-07-2020,Mobile_HPheaderJulySet1_button,942 ,
22195603,"August 15, 2020","August 15, 2020",15-08-2020,Mobile_HPheaderJulySet1_button,919 ,
22008180,"August 11, 2020","August 30, 2020",30-08-2020,Mobile_HPheaderJulySet1_button,909 ,
21920817,"August 10, 2020","August 10, 2020",10-08-2020,Mobile_HPheaderJulySet1_button,890 ,
